row_index_zero_based,CID,zCMB,c,HOST_LOGMASS,biasCor_m_b,m_b_corr,low_mass_curve,high_mass_curve,delta_m_b_corr,m_b_corr_reconstructed
711,Gaia16aki,0.073980000000000004,-0.087634000000000004,9.48062,0.027,18.3005,0.036646747549981991,0.013267329872705014,0.023379417677276977,18.323879417677276
714,7876,0.074899999999999994,-0.024989999999999998,9.7864599999999999,0.0223,18.223299999999998,0.016408864309873893,-0.032912537170484868,0.049321401480358761,18.272621401480357
715,2005ir,0.074899999999999994,-0.025822999999999999,9.7898700000000005,-0.019400000000000001,18.3126,0.016492519132634782,-0.032393972352814909,0.048886491485449692,18.361486491485451
717,AT2016gsu,0.075289999999999996,-0.113501,9.7590900000000005,0.047,18.293099999999999,0.054804146634453432,0.037669399275666232,0.0171347473587872,18.310234747358788
719,PS15bif,0.078549999999999995,-0.025673999999999999,9.58141,-0.0229,18.3185,0.016477237466541072,-0.032486883704779798,0.048964121171320873,18.36746412117132
728,12950,0.081409999999999996,0.027175999999999999,9.4255700000000004,0.033799999999999997,18.468499999999999,0.018670741367293513,-0.061977240617432691,0.080647981984726197,18.549147981984724
735,1241,0.088480000000000003,0.055246000000000003,9.9150899999999993,0.055199999999999999,18.5242,0.024584427440504139,-0.075827156585225763,0.1004115840257299,18.624611584025729
736,590194,0.090149999999999994,0.018669999999999999,9.7540800000000001,0.014800000000000001,18.667200000000001,0.017422334175755772,-0.05760665856095637,0.075028992736712138,18.742228992736713
740,010010,0.099680000000000005,0.010397,9.5028500000000005,0.0104,19.184699999999999,0.016498869594967401,-0.053244610086623546,0.069743479681590947,19.254443479681591
741,160099,0.10142,-0.023302,9.5937000000000001,-0.0019,19.045200000000001,0.016252553346056978,-0.033956950940938362,0.050209504286995339,19.095409504286998
743,140181,0.10231,0.017158,9.6732700000000005,0.0070000000000000001,18.998100000000001,0.017231354437735387,-0.056818179174915003,0.074049533612650389,19.072149533612652
748,18697,0.10638,-0.0024169999999999999,9.6770600000000009,0.023,19.008099999999999,0.015696388466839285,-0.046228539622636122,0.061924928089475403,19.070024928089474
